,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
42,Wed Aug 01 22:34:10 +0000 2018,1.0,0.0,BBC,0.0,@MdotMdotM @Lesleygsmith3 @BBCJohnBeattie @BBCRadioScot @MsABurnside @EamonnONeill If the @BBC  cannot answer this… https://t.co/WuQAT1fUey,0.0,43
43,Wed Aug 01 22:34:02 +0000 2018,0.919,0.0,BBC,0.081,"RT @Zarkwan: So, YouTube channels pulled at insistence of @BBC from Indy supporting bloggers, but not from Unionist ones. Is there any othe…",0.2382,44
44,Wed Aug 01 22:33:59 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,45
45,Wed Aug 01 22:33:55 +0000 2018,0.898,0.102,BBC,0.0,"RT @KINGofJOCKISTAN: So its official now then! 

The @bbc has gone full right wing with Its non stop reporting, verging on the celebration,…",-0.3595,46
46,Wed Aug 01 22:33:55 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,47
47,Wed Aug 01 22:33:51 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,48
48,Wed Aug 01 22:33:48 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,49
49,Wed Aug 01 22:33:43 +0000 2018,0.796,0.204,BBC,0.0,"NI had normal rainfall - despite heatwave
-
This is a completely bullshit, clickbait headline. There was nothing no… https://t.co/tFCPRwANMg",-0.624,50
50,Wed Aug 01 22:33:42 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,51
51,Wed Aug 01 22:33:39 +0000 2018,1.0,0.0,BBC,0.0,"@extremecompute @BBC The BBC literally worked with Mi5 for decades to blacklist leftists.

Their news section has b… https://t.co/ruJD5CA3eg",0.0,52
52,Wed Aug 01 22:33:33 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @guardiacivil @PoderJudicialEs @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @AR…,0.0,53
53,Wed Aug 01 22:33:28 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,54
54,Wed Aug 01 22:33:27 +0000 2018,1.0,0.0,BBC,0.0,RT @Concepc98510820: @welt @WDR @CNN @BBC @thetimes @lemonde_fr @ZDF @DLF @telegraaf @SZ @RTLde @DIEZEIT @ARD_Presse @faznet @Telegraph @In…,0.0,55
